JD RV eRV
2457422.74583 2.23887854632056 1.22424404332
2457427.74276 0.531154358527885 1.11279510392
2457440.70724 -0.327266398290547 0.99946329373
2457472.73042 -0.540783182212294 1.08546665618
2457490.67893 1.70938337035453 1.41542573581
2457494.69905 1.99617138248985 1.19144775085
2457503.68467 -1.73873359252269 1.14698929493
2457509.59042 0.118580052704947 1.0485879596
2457510.69213 -1.20936029193598 1.21788342155
2457532.57699 0.657020085401284 1.03417962416
2457536.53529 0.781098449879726 1.70945018539
2457537.66689 0.962445832337743 1.66178630997
2457539.5639 1.30399049604514 1.00674994224
2457544.66543 1.0008310555083 1.1258093583
2457555.51262 3.77493798822977 1.56078798311
2457572.50083 -0.70622317482272 1.1386707937
2457591.42381 3.17950558216306 1.17626680109
2457596.39831 5.19479647147082 2.03672672842
2457618.48114 2.46097921896297 2.04386205128
2457622.3906 2.8020298662049 1.71188459408
2457623.40066 3.81111243571327 2.21661072925
2457625.35634 2.57692420288392 1.73453144498
2457625.35752 4.26361229511351 1.52769377378
2457626.36964 2.37286213446148 1.45910403333
2457627.3636 2.25695919587757 3.57594933075
2457628.34688 2.9966186437086 1.75496520811
2457629.36767 5.37055024602176 1.77164164503
2457630.35644 0.974113269037369 1.45149142931
2457631.36804 3.56652332109129 1.59989494245
2457632.32512 2.64103112721404 1.61127764741
2457633.33155 5.69133916048697 1.49763193827
2457634.42148 1.51285014740943 1.48441931719
2457635.37864 4.30754673041209 1.28797007727
2457636.42886 1.35890393568302 1.68117423214
2457643.30388 1.25470004821421 1.16713289493
2457644.29437 1.74063396141561 1.07036486363
2457646.31016 1.60167720938064 1.7327705512
2457647.31032 1.45414258334246 3.21427331034
2457650.33205 2.94737684591059 1.65248740521
2457652.35731 2.19431013550838 1.76958017148
2457655.3798 -0.150513575634601 5.67187494347
2457656.32277 1.83553332965907 1.49517360727
2457657.33848 2.304323914149 3.12700841848
2457658.33931 1.50512565358497 2.03997001741
2457659.2893 1.91513551089797 1.80506767016
2457665.27337 0.266271788005393 1.33836790923
2457678.29314 1.21234322420859 1.90612253422
2457679.26984 0.986746941541259 1.5688212792
2457684.30782 4.22274988431542 2.66971780357
2457685.30894 2.19100722858356 2.08004918259
2457689.25306 3.04186127264533 1.14035338337
2457690.30058 1.70830542313534 1.30007257077
2457691.25977 1.37600123557106 1.04587747597
2457692.26846 0.454414779790437 1.03022558119
2457693.29754 -0.586958871600835 0.938394377559
2457694.28852 2.21297007245528 1.5110142316
2457698.28881 0.195987464210997 3.91397324462
2457704.25416 0.979124826641064 1.21647898701
2457705.2525 0.704104792280956 1.42457726119
2457706.25031 -1.49987061222808 1.29715848275
2457711.23879 -0.716923733205853 1.24735782646
2457712.25348 -4.23392185308495 1.29671147712
2457779.76495 -3.16656151501435 1.19858808355
2457788.74094 -3.00671376516284 1.46325813995
2457793.7307 -1.49169481459359 2.08153450791
2457793.73532 -1.82398927372962 1.63385463834
2457794.73572 -1.1102370498371 1.87071284441
2457794.73905 -1.06781957531036 3.81482168735
2457798.71735 -0.585584935882341 1.21426324451
2457799.70195 -2.11435013852554 1.6014743903
2457800.70456 -1.71635740031738 1.3746873212
2457806.6891 -3.08999536074429 1.74178922005
2457814.73879 -3.26583022189945 1.24161440533
2457815.71841 -1.27317748738242 1.57320936632
2457817.65838 -3.29223641692295 1.74924614994
2457818.66736 -1.69869317343722 1.30563708575
2457819.65009 -1.96459414967479 1.47857083845
2457822.73934 -1.92764831596847 1.00605838608
2457824.68069 -3.02651566762995 1.38210391255
2457828.63805 -2.79152026808442 1.13548438201
2457829.6541 0.407392677992238 1.45065639057
2457830.69347 -0.295621329797111 1.27456549091
2457833.73334 -0.996828232673121 0.971638074603
2457834.67884 -2.86072478058224 1.38902441955
2457851.66443 -0.961744815530944 1.45536568521
2457852.6919 -3.14937455756513 1.1938267362
2457854.69313 -3.98381273568636 1.05627688463
2457855.62522 -1.03703407136725 0.985397505581
2457856.69821 -3.22260202395092 0.933502858142
2457857.66742 -2.13557543466139 0.874378514521
2457858.63555 -3.09536803092417 1.25016336275
2457859.63345 -1.1134252464694 1.02895970738
2457861.70316 -2.32704859106397 1.02086071049
2457862.69632 -0.773863735276084 0.900071139904
2457863.58777 -2.39371618139786 2.31162991459
2457863.62323 -2.79765529228213 1.39866456457
2457864.68101 -1.32988427040242 1.0555586076
2457866.60358 -1.70186812542228 1.6788912189
2457875.62334 -0.60542143767133 0.99911649354
2457876.55014 -1.97798020362468 1.61338228283
2457877.55772 -4.25517459329364 0.920408048819
2457878.63816 -2.38132861317858 1.74582352304
2457879.57104 -0.233746512573724 1.87015313967
2457880.66248 1.04789743542749 1.19126985477
2457882.55744 -0.399456389229644 0.990885183573
2457883.60933 -2.89822013856122 1.53305358228
2457886.52586 -2.05614365392957 2.43585957959
2457887.55641 -3.45225628515548 1.05290281734
2457888.65782 0.728752190696642 1.23778049216
2457889.59841 -1.66848835574576 1.08060064248
2457890.66322 -3.35043305809211 1.01306461875
2457891.6606 -0.733041590410909 1.82361792522
2457892.61353 0.203953038033621 1.20300150859
2457893.59279 -2.25706058116502 0.885090634365
2457894.53536 -1.64338512021464 1.39052379919
2457896.59832 -1.50955326727535 1.41612630539
2457898.58642 -1.53802260473214 1.30314494718
2457905.50917 -3.37445469326506 1.23458121434
2457907.55252 -2.48239192002895 1.44114091079
2457909.63025 -2.37669999308155 1.54771464006
2457910.58502 -3.34671155392961 1.71582520902
2457911.66068 -3.43059743977501 1.44924540795
2457912.6696 -2.5743265344499 1.47473862979
2457914.52899 -2.13654666492234 1.37707404161
2457915.56292 -0.741346554572683 1.17756698223
2457916.52839 -3.06228878071646 1.84636423309
2457918.64233 -4.0674055468659 1.68886959168
2457919.64045 -2.98846002859353 1.99923861623
2457920.40067 -2.0044887623427 2.1235578518
2457921.54542 -1.10641699754795 1.42679496263
2457922.47817 -0.142042333532276 1.17493947161
2457924.47769 -3.90522520746564 1.68214791984
2457928.64736 -1.21946811297 1.12602000876
2457931.58803 -2.13915748728609 2.38364471189
2457934.40387 0.562655927793002 4.05814279081
2457934.41307 -3.87640235602786 2.09698514841
2457935.44095 -2.90771744243098 1.35157717567
2457936.49307 -1.90193120394389 1.40610510591
2457937.48209 -3.6329097998982 1.50748056566
2457939.47837 -2.6173818917735 1.3577825589
2457942.48064 -3.49697226364747 1.52952402368
2457943.46947 -0.279315528895849 1.53070095745
2457944.4618 -2.18733582459041 1.52780603275
2457945.46152 -1.47560934206375 1.22336949
2457946.56893 0.0732697782837743 1.21030832222
2457947.431 -2.12131469678646 1.46324328314
2457948.42767 -2.19077280887305 1.24052453618
2457949.53834 -2.86751626021948 1.13232716329
2457950.44782 -3.10543147074413 1.29336470642
2457951.44249 -2.66100390439108 1.24754630571
2457954.45745 -0.206818332336748 1.55064350884
2457955.43316 -2.93496427746168 1.94992407439
2457956.4295 -0.822820558124091 1.48702519523
2457958.4495 -0.820175219945658 1.36621874763
2457959.56201 -1.02252165458084 1.65107663387
2457960.41689 -0.604871046998185 1.15316329311
2457961.4198 -2.40699426386354 1.02950776456
2457962.42045 -0.404757616366837 1.18804890212
2457963.40703 -2.00881560118221 1.37490433474
2457964.4104 -2.94148340099714 1.13223323194
2457965.43537 -1.65024509087363 1.32227619683
2457968.40554 -0.75389449431758 1.11595049625
2457969.41863 -1.4800749809814 1.35559783397
2457970.40792 -3.1670595682258 1.21771111414
2457971.38739 -1.57042685543971 1.22628605829
2457976.3995 -1.77934807896089 1.22991758952
2457977.42131 -2.37147602533818 1.42033078996
2457979.45567 -2.18081188716981 1.19022047583
2457981.38588 -1.57153939582725 1.28879231721
2457982.45638 -2.84562532354839 1.31287786455
2457985.42535 -0.949364885305555 1.43138999189
2457986.43377 -1.67913421619762 1.46117057956
2457987.41038 1.41280857655936 1.27631947788
2457989.33984 -3.07782254674772 1.9974668141
2457990.42957 -0.501990201379189 1.35605209488
2457999.3176 -2.59605340834435 1.10809129487
2458000.40965 -0.988724561182683 1.16467146464
2458001.44498 -1.63303451479105 1.00099858985
2458002.3249 -0.941650769709263 0.951305906989
2458005.31768 -1.49179776786156 1.2365986142
2458006.31435 -0.507660420887166 1.33095908619
2458007.31067 1.15063686572073 1.04757666049
2458008.38176 -0.395991430596489 1.07161943285
2458009.33558 0.648134865428505 1.04232846316
2458010.3082 -2.40524106261885 1.09324213875
2458017.33144 -0.137054572450271 1.15506104901
2458021.30619 2.08997114285768 1.08113233988
2458022.28606 -0.667383073043801 1.4210367665
2458023.36574 -0.117134489519222 1.4036857692
2458027.34836 -2.51539730282667 1.72649051895
2458028.37702 -0.418787891512861 1.89965878249
2458030.37033 0.850960459033917 1.88415883745
2458032.30739 -0.398144810690732 1.75771184935
2458048.26598 2.09515158144655 1.25313216532
2458055.25871 0.773988898414419 1.35203483739
2458056.2605 0.202871203979394 1.21502356192
2458057.24052 3.70794334374304 1.04449604449
2458058.25912 -2.11656194775504 1.47798113454
2458059.25442 0.804438152972246 1.30368077241
2458060.25617 -2.19877792169594 1.29334838628
2458065.24278 -0.894403118323452 1.26335572639
